dmg,acc_date,type,reg,operator,fatal,location
w/o,15-Jun-20,Grumman G-1159 Gulfstream II,N27SL,private,1,"Machiques de Perijá, Zulia"
min,16-Jun-20,Embraer ERJ-145EP,G-SAJS,Loganair,0,Aberdeen International Airport (ABZ/EGPD)
sub,16-Jun-20,de Havilland Canada DHC-8-402Q Dash 8,G-JECK,Nordic Aviation Capital,0,Aberdeen International Airport (ABZ/EGPD)
w/o,19-Jun-20,Gulfstream Aerospace G-1159A Gulfstream III,N516TR,private,0,"El Chico, Retalhuleu"
sub,28-Jun-20,Cessna 560XL Citation XLS,VT-JSS,Jindal Steel & Power Ltd.,0,Vijayanagar Aerodrome (VDY)
w/o,02-Jul-20,Grumman G-1159 Gulfstream II SP,XB-NRX,Private,0,Mapastepec
non,05-Jul-20,Boeing 737-7H4,N254WN,Southwest Airlines,0,"Orlando, Florida"
w/o,05-Jul-20,British Aerospace BAe-125-700A,XB-RCM,private,0,"10 km from José Maria Morelos, Quintana Roo"
w/o,07-Jul-20,Airbus A319-111,HB-JOH,Chair Airlines,0,Napoli-Capodichino Airport (NAP)
w/o,07-Jul-20,Hawker 800XP,N339AV,private,0,within Venezuela
non,09-Jul-20,Embraer ERJ-175LR,N226NN,"Envoy Air, opf American Eagle",0,"Plainfield, Illinois"
non,09-Jul-20,Airbus A319-132,PT-TMO,LATAM Airlines Brasil,0,"near Guarulhos, SP"
sub,10-Jul-20,Learjet 45,XA-CAO,Aeroparadise SA,0,Toluca-Licenciado Adolfo López Mateos International Airport (TLC)
sub,13-Jul-20,Britten-Norman BN-2A-27 Islander,N200MU,Tropic Air Charters,0,"Fort Lauderdale-Executive Airport, FL (FXE)"
w/o,13-Jul-20,Antonov An-2R,RA-40851,Zeus-Avia,2,"0,4 km SE of Kistenevo, Bolsheboldinsky district, Nizhny Novgorod region"
non,14-Jul-20,Boeing 737-8S3 (WL),ZS-SJB,Mango,0,N of Durban
w/o,14-Jul-20,de Havilland Canada DHC-8-402Q (PF) Dash 8,5Y-VVU,Blue Bird Aviation,0,Beledweyne-Ugas Khalif Airport (HCMN)
w/o,15-Jul-20,Beechcraft B300 King Air 350i,EM-809,Turkish Police,7,30 km SW of Van-Ferit Melen Airport (VAN)
sub,17-Jul-20,Beechcraft 200 Super King Air,C-FSKQ,Skyjet Aviation,0,"Rouyn Airport, QC (YUY)"
w/o,19-Jul-20,Antonov An-2R,RA-71276,Phoenix,6,"30 km W of Tagarkhay, Buryatia region"
sub,20-Jul-20,Beechcraft B200 Super King Air,N740P,private,0,35 km SW of Brus Laguna
sub,22-Jul-20,Beechcraft 400A Beechjet,N425BJ,N425BJ LLC,0,"Montgomery Regional Airport, AL (MGM)"
w/o,22-Jul-20,Boeing 777-F60,ET-ARH,Ethiopian Airlines,0,Shanghai Pudong International Airport (PVG)
non,23-Jul-20,Airbus A310-304,EP-MNF,Mahan Air,0,Syrian airspace
sub,25-Jul-20,Cessna 208B Grand Caravan,XA-FTG,AX Transporter,0,Holbox Airstrip
w/o,26-Jul-20,Gulfstream Aerospace G-1159A Gulfstream III,N450BD,private,0,"near El Chal, Petén Department"
min,28-Jul-20,Boeing 737-3Z0 (SF),PK-YSZ,Trigana Air Service,0,Wamena Airport (WMX/WAJW)
w/o,30-Jul-20,Beechcraft 200 Super King Air,N515BA,private,0,"Rio Negro, Zulia"
sub,01-Aug-20,Airbus A321-211 (WL),VP-BAX,Aeroflot Russian International Airlines,0,Moskva-Sheremetyevo Airport (SVO)
w/o,03-Aug-20,Antonov An-74TK-100,RA-74044,"UTair-Cargo, opf United Nations - UN",0,Gao Airport (GAQ)
sub,04-Aug-20,Harbin Y-12-II,KAF128,Kenya Air Force - KAF,0,Dhobley Airstrip
w/o,07-Aug-20,Boeing 737-8HG (WL),VT-AXH,Air India Express,21,Kozhikode-Calicut Airport (CCJ)
w/o,08-Aug-20,Canadair CL-215-1A10,EC-HET,"Aut, Nacional de Emergência e Proteção Civil, opb Babcock",1,Lobios
w/o,09-Aug-20,British Aerospace BAe-125-800A,XB-RAY,private,0,near Maracaibo-La Chinita International Airport (MAR)
w/o,10-Aug-20,Rockwell Sabreliner 75A,N400RS,private,2,W off Paraguaná
non,12-Aug-20,Airbus A320-214,EC-IEF,Iberia,0,near Barcelona Airport (LEBL)
w/o,12-Aug-20,Beechcraft B200 King Air,N316JP,private,0,"Santa Ana, Bartolomé de Las Casas, Zulia"
w/o,13-Aug-20,Let L-410UVP-E3,9S-GEN,Doren Air Congo,4,28 km from Bukavu-Kavumu Airport (BKY)
w/o,16-Aug-20,Cessna 208B Grand Caravan,5Y-SAV,City Link,0,New Fangak Airstrip
