dmg,acc_date,type,reg,operator,fatal,location
w/o,10-Mar-19,Boeing 737 MAX 8,ET-AVJ,Ethiopian Airlines,157,50 km ESE of Addis Ababa-Bole Airport (ADD)
sub,11-Mar-19,de Havilland Canada CC-138 Twin Otter (DHC-6),13803,Royal Canadian Air Force - RCAF,0,"140 km N Inuvik, NT"
sub,12-Mar-19,Beechcraft A100 King Air,N945WS,Golden Wings Aviation Inc.,0,"Latrobe-Westmoreland County Airport, PA (LBE)"
sub,14-Mar-19,Cessna 650 Citation III,N220CM,RP Sales and Leasing Inc.,0,"Orlando Sanford International Airport, FL (SFB)"
w/o,18-Mar-19,IAI 1124 Westwind,N4MH,Sundance Airport FBO LLC,2,"Oklahoma City-Sundance Airport, OK (HSD)"
sub,18-Mar-19,Bombardier BD-100-1A10 Challenger 300,9M-TST,Berjaya Air,,Kuala Lumpur-Sultan Abdul Aziz Shah Airport (SZB)
sub,19-Mar-19,Fokker 100,EP-IDG,Iran Air,0,Tehran-Mehrabad Airport (THR/OIII)
sub,21-Mar-19,ATR 72-500 (72-212A),TR-ABS,Afrijet,0,São Tomé Island Airport (TMS/FPST)
w/o,22-Mar-19,Rockwell Sabreliner 60,N990PA,private,0,ca 14 km E of Bajamar
min,23-Mar-19,Airbus A320-232,HA-LPL,Wizz Air,0,Bristol Airport (BRS/EGGD)
w/o,23-Mar-19,Beechcraft B200 Super King Air,A2-MBM,Major Blue Air,1,Matsieng Aerodrome
sub,27-Mar-19,Boeing 737-7H4 (WL),N249WN,Southwest Airlines,0,"near Nashville International Airport, TN (BNA)"
sub,27-Mar-19,Antonov An-2,CU-A1825,Empresa Nacional de Servicios Aéreos-ENSA,0,Alonso de Rojas
min,03-Apr-19,Airbus A320-214,G-EZWC,easyJet,0,Belfast International Airport (BFS/EGAA)
sub,04-Apr-19,McDonnell Douglas MD-88,N977DL,Delta Air Lines,0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)"
sub,04-Apr-19,de Havilland Canada DHC-8-402Q Dash 8,OE-LGM,Austrian Airlines,0,Innsbruck-Kranebitten Airport (INN)
sub,08-Apr-19,British Aerospace 4100 Jetstream 41,HI1038,Sky High Aviation Services,0,Dominica Douglas-Charles Airport (DOM)
sub,10-Apr-19,Airbus A321-231 (WL),N114NN,American Airlines,0,"New York-John F. Kennedy International Airport, NY (JFK)"
non,11-Apr-19,Boeing 737-924ER (WL),N31412,United Airlines,0,"Fort Myers, FL"
w/o,13-Apr-19,Rockwell Sabreliner 65,N265DS,Classic Aviation,3,"near New Albany, MS"
w/o,14-Apr-19,Let L-410UVP-E20,9N-AMH,Summit Air,,Lukla-Tenzing-Hillary Airport (LUA)
sub,16-Apr-19,Bombardier BD-700-1A11 Global 5000,14+01,Luftwaffe,0,Berlin-Schönefeld Airport (SXF/EDDB)
w/o,16-Apr-19,Pilatus Britten-Norman BN-2B-27 Islander,CC-CYR,Archipiélagos Servicios Aéreos,6,"0,4 km W of Puerto Montt-Marcel Marchant Airport (SCPF)"
non,22-Apr-19,Airbus A320-232 (WL),HS-TXK,Thai Smile,0,"Sung Noen District, Nakhon Ratchasima Province"
sub,22-Apr-19,Antonov An-26,EY-322,Asia Airways,0,64 km from Khartoum
sub,23-Apr-19,Cessna 208 Caravan I,N366TA,private,0,"Dry Tortugas National Park, FL"
sub,24-Apr-19,Beechcraft B200 Super King Air,C-FRMV,Keewatin Air,0,"Gillam Airport, MB (YGX)"
sub,24-Apr-19,Cessna 551 Citation II/SP,D-IADV,private,0,Siegen-Siegerland Airport (SGE/EDGS)
sub,30-Apr-19,Boeing 737-33A (WL),G-GDFB,Jet2,0,East Midlands Airport (EMA)
sub,30-Apr-19,Boeing 737-73S (WL),EI-SEV,Ryanair,0,East Midlands Airport (EMA/EGNX)
non,02-May-19,Boeing 737-8GJ (WL),HL8021,T'way Air,0,115km north of Tokyo/Narita International Airport (NRT/RJAA)
sub,03-May-19,Douglas C-47A-25-DK (DC-3C),C-GJKM,Buffalo Airways,0,"6,5 km SE of Hay River Airport, NT (YHY)"
sub,03-May-19,Boeing 737-81Q (WL),N732MA,Miami Air International,0,"Jacksonville Naval Air Station, FL (NIP)"
sub,04-May-19,Antonov An-2R,RA-01443,Voskhod LLC,0,"Vyun, Tomponsky region"
unk,04-May-19,Learjet 45,C-GMCP,Skyservice Business Aviation,0,Edinburgh-Turnhouse Airport (EDI/EGPH)
w/o,05-May-19,Canadair CL-600-2B16 Challenger 601-3A,N601VH,Compañia de Aviación y Logística Empresarial,13,257 km NW of Monclova
w/o,05-May-19,Sukhoi Superjet 100-95B,RA-89098,Aeroflot Russian International Airlines,41,Moskva-Sheremetyevo Airport (SVO)
w/o,07-May-19,Antonov An-2R,YV2354,private,0,13 km from Uriman Airport (URM)
sub,07-May-19,de Havilland Canada DHC-6 Twin Otter 300,C-GNDO,Air Inuit,0,"57 km NNE of Kuujjuarapik Airport, QC (YGW)"
w/o,08-May-19,de Havilland Canada DHC-8-402Q Dash 8,S2-AGQ,Biman Bangladesh Airlines,0,Yangon-Mingaladon Airport (RGN/VYYY)
sub,10-May-19,de Havilland Canada DHC-8-311 Dash 8,C-FJXZ,"Air Canada Express, opb Jazz Aviation",0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)"
sub,11-May-19,Cessna 208B Supervan 900,C-FCPM,Parachutisme Nouvel Air,0,"Saint-Esprit Aerodrome, QC"
min,12-May-19,Embraer ERJ-190LR,XY-AGQ,Myanmar National Airlines,0,Mandalay International Airport (MDL)
non,13-May-19,Boeing 737-9B5,HL7726,Korean Air,0,30NM W of Incheon International Airport
sub,13-May-19,de Havilland Canada DHC-3T Vazar Turbine Otter,N959PA,Taquan Air,,"15 km NE of Ketchikan, AK"
w/o,18-May-19,Gulfstream American G-1159 Gulfstream II SP,unreg.,private,0,"Chico de Chamorro, Retalhuleu"
w/o,22-May-19,Cessna S550 Citation S/II,N311G,private,2,"near Indianapolis Regional Airport, IN (KMQJ)"
w/o,22-May-19,Antonov An-2R,RA-68161,private,0,Zhuravskoye
w/o,24-May-19,Cessna 560 Citation Encore,N832R,Jet Sales LLC,1,"500 km E off Fort Lauderdale, Florida, USA"
non,25-May-19,Boeing 737-8H4 (WL),N8697C,Southwest Airlines,0,"Waycross, Georgia"
non,25-May-19,Airbus A320-214 (WL),PK-LZJ,Batik Air,0,Makassar-Sultan Hasanuddin International Airport (WAAA)
non,28-May-19,Airbus A320-232,N507JT,Jetblue Airways,0,"Fort Lauderdale, Florida"
w/o,29-May-19,Antonov An-124-100,5A-DKN,Libyan Air Cargo,0,Tripoli International Airport (TIP)
w/o,03-Jun-19,Antonov An-32,K2752,Indian Air Force - IAF,13,16 km N of Lipo
sub,07-Jun-19,Antonov An-2T,UR-KAU,TSO Ukrayiny,0,"Svyatoshyns'kyi District, Kiev"
sub,09-Jun-19,Boeing 737-924ER (WL),N75436,United Airlines,0,"Denver International Airport, CO (DEN/KDEN)"
sub,09-Jun-19,Antonov An-2R,RA-81519,Feniks,0,"50 km NE of Kyren, Tunkinsky District"
sub,11-Jun-19,CASA C-212 Aviocar 200,N603AR,EP Aviation,0,Kiunga Airport (KIU)
sub,15-Jun-19,ATR 42-320,PR-MPN,MAP Linhas Aéreas,0,"Manaus-Eduardo Gomes International Airport, AM (MAO)"
sub,15-Jun-19,Boeing 757-224 (WL),N26123,United Airlines,0,"Newark-Liberty International Airport, NJ (EWR)"
sub,17-Jun-19,Boeing 737-8H4 (WL),N8608N,Southwest Airlines,0,"Pittsburgh-Greater Pittsburgh International Airport, PA (PIT)"
sub,17-Jun-19,Cessna 680 Citation Sovereign,LV-CIQ,Banco Macro,0,"Joaquín V. González-Agropecuaria Río Juramento Airstrip, SA"
non,18-Jun-19,Airbus A330-243,B-LHA,Hong Kong Airlines,0,"Nansha District, Guangzhou, Guangdong Province"
w/o,20-Jun-19,Antonov An-2R,UP-A0116,Navigator,1,"10 km from Rodina village, Tselinograd district"
sub,21-Jun-19,Basler BT-67 Turbo 67 (DC-3T),C-FKGL,North Star Air,0,"off Fort Hope Airport, ON (YFH)"
w/o,23-Jun-19,Antonov An-2R,UR-43983,Phoenix Air LLC,0,"near Mlyny, Poltava region"
min,26-Jun-19,Rockwell Sabreliner 65,N65HH,Yankee Dawdle LLC,0,"Sacramento-McClellan Airfield, CA (MCC)"
min,27-Jun-19,Cessna 560 Citation V,N318RW,Mueller Aero Inc,0,"Janesville, Wisconsin"
w/o,27-Jun-19,British Aerospace 3212 Jetstream 31,YV2536,Transmandu,0,Canaima Airport (CAJ)
w/o,27-Jun-19,Antonov An-24RV,RA-47366,Angara Airlines,2,Nizhneangarsk Airport (UIUN)
sub,28-Jun-19,Saab 340A,C6-VIP,Western Air,0,Nassau-Lynden Pindling International Airport (NAS)
sub,29-Jun-19,Cessna 208B Supervan 900,N80JF,ISR Aviation LLC,0,"Plant City-Blackwater Creek Ultralight Flightpark, FL"
w/o,30-Jun-19,Dassault Falcon 900B,N908CA,Warren Transportation LLC,0,"Dallas-Addison Airport, TX (ADS/KADS)"
sub,30-Jun-19,Antonov An-2T,RF-00105,"DOSAAF, Gvardeysky ATSK",0,near Gvardeysky
w/o,30-Jun-19,Beechcraft B300 King Air 350i,N534FF,EE Operations LLC,10,"Dallas-Addison Airport, TX (ADS/KADS)"
sub,01-Jul-19,Boeing 737-85R,VT-SYK,SpiceJet,0,Mumbai-Chhatrapati Shivaji International Airport (BOM)
sub,08-Jul-19,Canadair CL-215-6B11 (CL-415),C-FAWQ,Gouvernement du Québec,0,"83 km NW of Roberval Airport, QC (YRJ)"
w/o,08-Jul-19,Cessna 208B Grand Caravan,N9448B,Grant Aviation,0,"Bethel Airport, AK (BET)"
min,08-Jul-19,Airbus A320-214,5A-ONA,Afriqiyah Airways,0,Tripoli-Mitiga International Airport (MJI)
sub,09-Jul-19,Antonov An-2,unreg.,Unknown,0,"near Raduga, Novoaleksandrovsk District"
min,09-Jul-19,Boeing 737-8K2 (WL),PH-BXH,KLM Royal Dutch Airlines,0,Amsterdam-Schiphol International Airport (AMS/EHAM)
min,09-Jul-19,Airbus A320-214 (WL),OE-IVQ,easyJet Europe,0,Amsterdam-Schiphol International Airport (AMS/EHAM)
non,10-Jul-19,Airbus A380-861,A6-EEM,Emirates,0,Bay of Bengal
sub,12-Jul-19,ATR 42-500,SX-FOR,Sky Express,0,Naxos Island National Airport (JNX/LGNX)
sub,12-Jul-19,Cessna 525 CitationJet,N262BK,"Omicron Business Services, LLC",0,"Orlando Executive Airport, FL (ORL)"
w/o,16-Jul-19,Antonov An-2,RA-3098K,Unknown,0,"Novoshchedrinskaya, Chechnya"
w/o,17-Jul-19,Cessna 550 Citation II,N320JT,Avia Jet LLC,0,"Mesquite Municipal Airport, NV"
sub,19-Jul-19,de Havilland Canada DHC-8-402Q Dash 8,C-FKWE,WestJet Encore,0,"Edmonton International Airport, AB (YEG)"
sub,20-Jul-19,ATR 42-500,AP-BHP,Pakistan International Airlines - PIA,0,Gilgit Airport (GIL)
non,22-Jul-19,Boeing 767-322ER (WL),N663UA,United Airlines,0,"200 nm N of San Juan, Puerto Rico"
sub,23-Jul-19,Boeing 757-324 (WL),N57852,United Airlines,0,"San Francisco International Airport, CA (SFO)"
sub,23-Jul-19,Boeing 737-36N (WL),5N-BQO,Air Peace,0,Lagos-Murtala Muhammed International Airport (LOS)
non,24-Jul-19,Boeing 777-333ER,C-FNNQ,Air Canada,0,Paris-Charles de Gaulle Airport (CDG/LFPG)
w/o,25-Jul-19,Ilyushin Il-76TD,UR-CMC,Europe Air,1,Al Jufra Airbase
w/o,25-Jul-19,Ilyushin Il-76TD,UR-CRP,Europe Air,0,Al Jufra Airbase
w/o,26-Jul-19,Cessna 208 Caravan 675,C-GURL,Seair Seaplanes,4,"Addenbroke Island, BC"
sub,27-Jul-19,Fairchild SA227-AC Metro III,N681TR,Sierra West Airlines,0,"El Paso International Airport, TX (ELP)"
sub,30-Jul-19,Avro RJ85,VH-NJW,Cobham Aviation Services,0,"Perth Airport, WA (PER)"
sub,30-Jul-19,Airbus A319-114,D-AILR,Lufthansa,0,Frankfurt International Airport (FRA/EDDF)
w/o,30-Jul-19,Beechcraft B300 King Air 350i,766,Pakistan Army Aviation Corps,,"Mora Kalu, Rawalpindi"
sub,31-Jul-19,Douglas DC-3C,N59314,Bush Air Fuel,0,"Drift River Airport (3AK5), AK"
sub,31-Jul-19,Bombardier CRJ-900ER,N947LR,"American Eagle, opb Mesa Airlines",0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)"
sub,01-Aug-19,Douglas C-118A Liftmaster (DC-6A),N451CE,Everts Air Cargo,0,"Candle 2 Airport, AK"
min,02-Aug-19,Airbus A330-243,G-MLJL,Thomas Cook Airlines,0,near SUMRS waypoint
sub,02-Aug-19,Shijiazhuang Y-5B(D),B-50OC,Liaoning Star General Aviation,0,"Longmen Farm, Wudalianchi, Heilongjiang Province"
min,02-Aug-19,Boeing 787-8 Dreamliner,C-GHPU,Air Canada,0,"Vancouver International Airport, BC (YVR/CYVR)"
sub,02-Aug-19,Airbus A340-313,HB-JMF,Edelweiss Air,0,"Vancouver International Airport, BC (YVR/CYVR)"
w/o,04-Aug-19,Antonov An-2,RT-15-305,DOSAAF Tajikistan,1,near Fakhrabad
sub,05-Aug-19,Airbus A320-232,N432UA,United Airlines,0,"San Francisco International Airport, CA (SFO)"
w/o,06-Aug-19,Cessna 510 Citation Mustang,CC-ANR,private,1,"0,4 km N of Los Ángeles-María Dolores Airport (LSQ)"
w/o,06-Aug-19,Cessna 208B Supervan 900,C-FSKF,Alkan Air,2,"46 km ENE of Mayo Airport, YT (YMA)"
w/o,06-Aug-19,Cessna 208B Grand Caravan,5H-NOW,Tropical Air,0,Mafia Airport (MFA)
w/o,06-Aug-19,Ilyushin Il-76TD,UR-COZ,SkyAviatrans,0,Misrata International Airport (MRA)
w/o,06-Aug-19,Cessna 560XLS+ Citation XLS+,D-CAWM,Aerowest,0,Aarhus Airport (AAR/EKAH)
sub,07-Aug-19,British Aerospace 3201 Jetstream 32,HK-4540,SARPA - Servicios Aéreos Panamericanos,0,Bahía Solano-José Celestino Mutis Airport (BSC)
non,08-Aug-19,Airbus A320-232,N505JB,Jetblue Airways,0,"Charlottesville, Virginia"
non,08-Aug-19,Bombardier CL-600-2B16 Challenger 604,N237QS,Netjets,0,"Lubbock, Texas"
sub,08-Aug-19,Airbus A321-211 (WL),N717FR,Frontier Airlines,0,"Orlando International Airport, FL (MCO)"
sub,10-Aug-19,Canadair CL-600-2B16 Challenger 601,N602TS,private,0,Nassau-Lynden Pindling International Airport (NAS)
min,12-Aug-19,Boeing 787-9 Dreamliner,G-CKWB,Norwegian Air UK,0,London-Gatwick Airport (LGW)
sub,14-Aug-19,de Havilland Canada DHC-6 Twin Otter 200,T-82,Fuerza Aérea Argentina - FAA,0,54 km from Base Marambio
w/o,14-Aug-19,Beechcraft Super King Air,XB-...,Unknown,0,"El Ramonal, Chetumal, Quintana Roo"
non,15-Aug-19,Boeing 787-8 Dreamliner,JA808A,All Nippon Airways - ANA,0,"Over Chengde, Hebei Province"
sub,15-Aug-19,de Havilland Canada DHC-6 Twin Otter 300,N322AV,Berry Aviation,0,"San Marcos Regional Airport, TX"
w/o,15-Aug-19,Cessna 680A Citation Latitude,N8JR,JRM Air LLC,0,"Elizabethton Municipal Airport, TN"
sub,15-Aug-19,Airbus A321-211,VQ-BOZ,Ural Airlines,0,ca 5 km SE of Zhukovsky International Airport (ZIA)
sub,16-Aug-19,de Havilland Canada DHC-8-200,5Y-SLM,SafariLink,0,Kichwa Tembo Airstrip
sub,18-Aug-19,Cessna 208B Grand Caravan EX,N879MA,Mokulele Airlines,0,"Kapalua Airport, HI (JHM)"
sub,18-Aug-19,Boeing 757-251 (WL),N543US,Delta Air Lines,0,"Ponta Delgada-João Paulo II Airport, Azores (PDL)"
non,21-Aug-19,Airbus A340-642,G-VFIT,Virgin Atlantic Airways,0,over Black Sea
w/o,21-Aug-19,Cessna 750 Citation X,1060,Fuerza Aérea Venezolana - FAV,0,Caracas/La Carlota-Gen. Francisco de Miranda Air Base (SVFM)
sub,21-Aug-19,Cessna 208B Super Cargomaster,C-FEXE,Morningstar Air Express,0,"Vancouver International Airport, BC (YVR/CYVR)"
w/o,21-Aug-19,Cessna 560XL Citation Excel,N91GY,Delta Private Jets,0,"Oroville Airport, CA (OVE)"
sub,22-Aug-19,Airbus A380-861,A6-EOP,Emirates,0,Dubai Airport (DXB)
sub,23-Aug-19,Antonov An-2T,OK-TIR,Club Tiroler Adler,0,Gmunden Airfield
sub,25-Aug-19,Lockheed C-130A Hercules,N119TG,International Air Response,0,"Santa Barbara Airport, CA (SBA)"
non,26-Aug-19,McDonnell Douglas MD-88,N911DL,Delta Air Lines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)"
non,27-Aug-19,Airbus A320-251N,N328FR,Frontier Airlines,0,"near Denver, CO"
sub,27-Aug-19,Airbus A330-343,B-5958,Air China,0,Beijing-Capital International Airport (PEK)
w/o,27-Aug-19,Cessna 560XL Citation Excel,VT-AVV,Air Charter Services,0,Aligarh Airport
sub,28-Aug-19,Cessna 525 CitationJet CJ1+,D-ICEY,Lenox Handels und Speditions GmbH,0,Egelsbach Airfield (EDFE)
sub,28-Aug-19,Antonov An-2R,RA-40389,private,0,"Selektsionny, Lgovsky district, Kursk region"
w/o,30-Aug-19,Antonov An-2R,RA-33061,private,2,Lake Syuryun-Kyuel area
sub,31-Aug-19,Cessna 510 Citation Mustang,N551WH,Star Jet LLC,0,"El Monte-San Gabriel Valley Airport, CA (EMT)"
min,01-Sep-19,Airbus A330-202,5A-LAU,Libyan Airlines,0,Tripoli-Mitiga International Airport (MJI)
w/o,01-Sep-19,Beechcraft B300 King Air 350,RP-C2296,Lionair Inc.,9,"Pansol, Calamba, Laguna"
w/o,02-Sep-19,British Aerospace BAe-125-700A,XB-PTW,private,2,near Nueva Cajolá
sub,05-Sep-19,Cessna 560XLS+ Citation XLS+,OE-GES,Jet 24 GmbH,0,Milano-Malpensa Airport (MXP)
non,06-Sep-19,Airbus A319-132,N515NK,Spirit Airlines,0,"Fort Myers, Florida"
sub,07-Sep-19,ATR 72-600 (72-212A),HK-5041,"Regional Express Américas, opf Avianca",0,Manizales-La Nubia Airport (MZL)
non,09-Sep-19,Airbus A319-112,D-AKNL,Eurowings,0,near Berlin
sub,11-Sep-19,Bombardier CRJ-701ER,N765SK,"Skywest Airlines, opf American Eagle",0,"Chicago-O'Hare International Airport, IL (ORD/KORD)"
sub,11-Sep-19,Bombardier CRJ-701ER,N710SK,"Skywest Airlines, opf American Eagle",0,"Chicago-O'Hare International Airport, IL (ORD/KORD)"
unk,11-Sep-19,British Aerospace BAe-125-700A,XB-SMV,private,0,"Chencoh, Hopelchén"
w/o,11-Sep-19,Cessna 208 Supervan 900,D-FIDI,GoJump,1,near Gransee Airfield
w/o,11-Sep-19,Convair CV-440,N24DR,Ferreteria e Implementos San Francisco,2,"1 km ENE of Toledo-Express Airport, OH (TOL)"
w/o,16-Sep-19,Cessna 208B Grand Caravan,PT-MHC,TwoFlex,0,"0,6 km W of Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG)"
w/o,18-Sep-19,Britten-Norman BN-2A-21 Islander,V6-03FM,Caroline Islands Air,0,"Ta Island Airstrip, Caroline Islands"
w/o,18-Sep-19,Viking Air DHC-6 Twin Otter 400,PK-CDC,"Rimbun Air, opb Carpediem Aviation",4,"10 km from Kampung Mamontoga, Hoeya District, Mimika Regency"
sub,20-Sep-19,Cessna 208B Grand Caravan,N895SF,private,0,"Pepperell Airport, MA"
sub,23-Sep-19,Britten-Norman BN-2A-27 Islander,VP-MNI,FlyMontserrat,0,Montserrat-John A. Osborne Airport (MNI)
w/o,23-Sep-19,Cessna 208B Grand Caravan EX,5H-AAM,Auric Air,2,Seronera Airstrip (SEU)
sub,24-Sep-19,Cessna 208B Grand Caravan,YVO134,Gobernación del Estado Bolívar,0,San Salvador de Paúl Airstrip
w/o,24-Sep-19,Cessna 208 Caravan,1917,Department of Royal Rainmaking and Agricultural Aviation,2,Village no.9 Lum Sum Sai Yok District Kanchanaburi Province
sub,30-Sep-19,Antonov An-12BK,UR-CKL,Cavok Air,0,Liverpool International Airport (LPL)
w/o,30-Sep-19,Gulfstream American G-1159 Gulfstream II B,XB-PVO,private,0,"Blue Creek, Orange Walk"
non,01-Oct-19,Boeing 777-31HER,A6-EBU,Emirates,0,near Batam Island
w/o,02-Oct-19,Boeing B-17G Flying Fortress,N93012,The Collings Foundation,7,"Windsor Locks-Bradley International Airport, CT (BDL)"
sub,04-Oct-19,Antonov An-12BK,UR-CAH,Ukraine Air Alliance,5,"1,1 km SE of Lviv-Danylo Halytskyi International Airport (LWO)"
sub,07-Oct-19,Hawker 800XP,N86MN,Delta Private Jets,0,"Fort Myers-Southwest Florida International Airport, FL (RSW)"
sub,07-Oct-19,Honda HA-420 HondaJet,N166HJ,Pro by Air,0,"Charleston International Airport, SC (CHS)"
w/o,10-Oct-19,Antonov An-72,EK-72903,Air Force of the Democratic Republic of the Congo,8,near Kole
sub,11-Oct-19,de Havilland Canada DHC-6 Twin Otter 100,N166DH,Skydive Georgia,0,"Cedartown-Polk County Airport, GA"
w/o,11-Oct-19,Fokker 50,5Y-IZO,Silverstone Air Services,0,near Nairobi-Wilson Airport (WIL)
min,12-Oct-19,Embraer EMB-110P1 Bandeirante,C6-KMC,Pineapple Air,0,Nassau-Lynden Pindling International Airport (NAS/MYNN)
non,12-Oct-19,ATR 42-600,JA01JC,Japan Air Commuter,0,65 km north-northwest of Tanegashima Airport (TNE/RJFG)
non,16-Oct-19,Bombardier Global Express,N307KP,Elite Air Inc,0,"Augusta-Bush Field, GA (AGS/KAGS)"
sub,17-Oct-19,Saab 2000,N686PA,PenAir - Peninsula Airways,1,"Unalaska-Tom Madsen Airport, AK (DUT)"
sub,18-Oct-19,Airbus CC-150 Polaris (A310-300),15001,Royal Canadian Air Force - RCAF,0,"Trenton Canadian Forces Base, ON (YTR)"
unk,18-Oct-19,Douglas DC-3C,N437GB,Atlantic Air Cargo,0,"4,6 km NW off Nassau-Lynden Pindling International Airport (NAS)"
sub,22-Oct-19,Canadair CL-600-2B19 Regional Jet CRJ-200LR,N8837B,"Delta Connection, opb Endeavor Air",0,"near Atlanta Hartsfield-Jackson International Airport, GA (ATL)"
sub,22-Oct-19,Basler BT-67 Turbo 67 (DC-3T),FAS116,Fuerza Aérea Salvadoreña,0,San Salvador/Ilopango International Airport (SAL)
w/o,25-Oct-19,Rockwell Sabreliner 65,N465BC,private,0,"Sipacate, Escuintla"
w/o,26-Oct-19,de Havilland Canada DHC-3T/M601 Turbine Otter,C-GBTU,Blue Water Aviation Services,3,"Family Lake, Little Grand Rapids First Nation, MB"
non,26-Oct-19,Airbus A330-341,PK-GPE,Garuda Indonesia Airways,0,near Banda Aceh (BTJ)
w/o,27-Oct-19,Gulfstream American G-1159 Gulfstream II SP,(N530GA),private,0,"Vista Hermosa, Ixcán"
w/o,27-Oct-19,Let L-410UVP,YI-BYO,Abeer Air Services,0,Kolnyang County
sub,29-Oct-19,de Havilland Canada DHC-8-402Q Dash 8,N402QX,Horizon Air,0,"near Boise, ID"
min,31-Oct-19,Cessna 208B Super Cargomaster,N926FE,"Corporate Air, opf FedEx",0,"Honolulu-Daniel K. Inouye International Airport, HI (HNL)"
non,03-Nov-19,Boeing 787-8 Dreamliner,N796AV,Avianca,0,near Barcelona
sub,05-Nov-19,Learjet 35A,XA-VBD,USMX AirLink,0,San Jose Cabo-Los Cabos Airport (SJD)
non,11-Nov-19,Boeing 747-428ERF,TC-ACR,ACT Airlines,0,Istanbul-Atatürk Airport (ISL/LTBA)
w/o,11-Nov-19,British Aerospace BAe-125-700A,(N237DX),private,0,Petén
sub,11-Nov-19,Embraer EMB-145LR (ERJ-145LR),N619AE,"American Eagle, opb Envoy Air",0,"Chicago-O'Hare International Airport, IL (ORD/KORD)"
w/o,14-Nov-19,Cessna 550 Citation II,PT-LTJ,José João Abdalla Filho,5,"Maraú-Barra Grande Airport, BA (SIRI)"
sub,15-Nov-19,Cessna 560 Citation Encore,N777HW,ETG Aviation LLC,0,"San Antonio International Airport, TX (SAT)"
sub,15-Nov-19,Cessna 525B CitationJet CJ3,N973CG,Pilot Point Consultancy LLC,0,"San Antonio International Airport, TX (SAT)"
min,16-Nov-19,Airbus A330-243,V5-ANO,Air Namibia,0,Frankfurt International Airport (FRA/EDDF)
sub,16-Nov-19,Boeing 777-3B5ER,HL7204,Korean Air,0,Frankfurt International Airport (FRA/EDDF)
sub,21-Nov-19,Boeing 737-8F2 (WL),TC-JGZ,THY Turkish Airlines,0,Odessa-Central Airport (ODS)
sub,21-Nov-19,Gulfstream G150,TC-AEH,Tahe Havacilik,0,Odessa-Central Airport (ODS)
sub,22-Nov-19,Boeing 737-401,YV3012,Avior Airlines,0,Bogotá-Eldorado Airport (BOG/SKBO)
w/o,23-Nov-19,Beechcraft B200 King Air,(XB-PYB),private,0,Saint-Jean du Sud
w/o,24-Nov-19,Dornier 228-201,9S-GNH,Busy Bee Congo,,1 km S of Goma Airport (GOM)
sub,25-Nov-19,de Havilland Canada DHC-8-311 Dash 8,9J-PZB,Proflight Air Services,0,near Lusaka
sub,25-Nov-19,McDonnell Douglas MD-88,N975DL,Delta Air Lines,0,Atlanta Hartsfield - Jackson (ATL / KATL)
w/o,01-Dec-19,British Aerospace BAe-125-700A,N949CL,private,0,"near El Picudo, San Andrés"
sub,01-Dec-19,Beechcraft B99 Airliner,C6-FER,Flamingo Air Charter,0,Black Point Airstrip (MYEB)
w/o,02-Dec-19,British Aerospace BAe-125-700A,false reg.,private,0,near San Andrés Villa Seca
sub,03-Dec-19,British Aerospace BAe-125-800A,N469RJ,Business Jet Managers Inc,0,"Detroit-Coleman A. Young International Airport, MI (DET)"
sub,03-Dec-19,Basler BT-67 Turbo 67 (DC-3T),C-FKAL,North Star Air,0,"0,5 km SW of Sachigo Lake Airport, ON (ZPB)"
w/o,06-Dec-19,British Aerospace BAe-125-800A,(N293WB),private,0,"0,4 km NW of Chan Chen, Corozal"
w/o,09-Dec-19,Lockheed C-130H Hercules,990,Fuerza Aérea de Chile,38,520 km NW off King George Island
w/o,09-Dec-19,Cessna 208B Super Cargomaster,N4602B,Martinaire,1,"ca 11 km NE of Victoria Regional Airport, TX (VCT)"
sub,10-Dec-19,de Havilland Canada DHC-8-402Q Dash 8,ET-AQC,Ethiopian Airlines,0,Juba Airport (JUB)
non,15-Dec-19,Airbus A330-202,VH-EBC,Qantas,0,"69 km south east Bathurst, NSW"
non,15-Dec-19,Embraer EMB-145LR,N648AE,"Piedmont Airlines, opf American Eagle",0,"Philadelphia, Pennsylvania"
w/o,15-Dec-19,Grumman American G-1159 Gulfstream IISP,(XB-BZH),private,0,Quiché
non,16-Dec-19,Embraer ERJ-140LR,N805AE,"Envoy Air, opf American Eagle",0,"Alexandria, Louisiana"
non,16-Dec-19,Airbus A330-243,EC-LQO,Air Europa,0,near Madrid-Barajas Adolfo Suárez Airport (MAD/LEMD)
sub,17-Dec-19,Beechcraft B300 King Air 350,N160RW,Ritch Air LLC,0,"Visalia Airport, CA (VIS)"
non,18-Dec-19,Embraer ERJ-190AR,N959UW,American Airlines,0,"Disputanta, Virginia"
sub,18-Dec-19,Beechcraft 200 Super King Air,N72MM,WL Aviation LLC,0,"Fresno Yosemite International Airport, CA (FAT)"
sub,18-Dec-19,Cessna 525A CitationJet CJ2,C-GOJG,C-GHGR Holdings,0,"near Scottsbluff, NE"
non,19-Dec-19,Boeing 737-924ER (WL),N68802,United Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)"
